Certification Tracker,,,,,,,,,,,,,,,,,,,,,,,
My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam/Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/2021,,8/1/2022,,0%,,https://my.pmi.org/,300,2,600,ArmyIgnited,150,,,ArmyIgnited Approval Pending 2/26,https://www.project-management-prepcast.com/pmi-acp-exam,https://www.pmtraining.com/public/pMemberLogin.aspx
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/2021,,,,0%,,https://www.onlinepmti.com/ACP,2000,1,2000,ArmyIgnited,,,,,,"https://www.onlinepmti.com/ACP/home#

"
PMI-DASSM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,2/26/2022,,5/1/2022,,0%,,https://my.pmi.org/,270,1,270,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
SAFe,American Technology Consulting,Agile,Agile,,https://www.atc-training.net/,Certification,2/26/2022,,4/15/2022,,0%,,https://www.atc-training.net/,500,1,500,ArmyIgnited,,,,,,
PMI-CAPM,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,1/1/2022,,11/1/2022,,0%,,https://my.pmi.org/,300,1,300,ArmyIgnited,,,,,,
PMI-PMP,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,12/1/2021,,12/1/2022,,0%,,https://my.pmi.org/,300,1,300,ArmyIgnited,,,,Funding approved. Ready to schedule,,
Data Science Certificate,University of Louisville,Data Analysis,Python,,https://engineering.louisville.edu/,Academic Certificate,1/10/2022,,5/1/2023,,0%,,,750,2,1500,ArmyIgnited,,,,,,
IBM Data Analytics with Excel and R,IBM,Data Analysis,R,Microsoft Excel,https://www.coursera.org/programs/casy-on-demand-learning-program-yul8r?currentTab=MY_COURSES&productId=QQGg65luEeugtw5wj3v7iQ&productType=s12n&showMiniModal=true,Professional Certificate,10/10/2022,,12/1/2022,,0%,,,300,1,300,Vetjobs,,,,,,
Google IT Automation with Python,Google,Data Analysis,Python,,https://www.coursera.org/learn/python-operating-system/home/welcome,Professional Certificate,12/1/2021,,6/1/2022,,25%,,,300,1,300,Vetjobs,,,,,,
Excel Master Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,,8/1/2022,,75%,,https://elearning.iact.ie/skill/371445/qbgzCjeT,49,1,49,Self,,,,Pending final project,,
Google Project Management,Google,Project Management,Project Management,,https://www.coursera.org/learn/applying-project-management/home/welcome,Professional Certificate,11/1/2021,,4/1/2022,,75%,,,300,1,300,Vetjobs,,,,,,
IBM Data Science,IBM,Data Analysis,Python,Microsoft Excel,https://www.coursera.org/learn/machine-learning-with-python/home/welcome,Professional Certificate,10/1/2022,,7/1/2022,,75%,,,300,1,300,Vetjobs,,,,,,
SHRM-CP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,3/1/2021,6/28/2021,,5/31/2025,100%,Done,https://portal.shrm.org/,4000,1,4000,Proponent Funded,,https://learnhrm.partnerrc.com/am/@@login?camefrom=/am/%40%40summary,,,,
365 Fundamentals,Microsoft ,Microsoft Office ,Microsoft Office,,https://docs.microsoft.com/en-us/learn/,Certification,8/1/2021,8/21/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99,1,99,ESI,,,,,,
Teams Administrator,Microsoft ,Microsoft Teams,Microsoft Teams,,https://docs.microsoft.com/en-us/learn/,Certification,7/30/2021,9/13/2021,,9/13/2022,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,160,3,480,ESI,,,,,,
Lean Six Sigma Green Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,10/3/2021,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,199,1,199,ArmyIgnited,,,,,,
Lean Six Sigma Master Black Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/2021,10/3/2021,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,500,1,500,ArmyIgnited,,,,,,
Power Platforms Fundamentals,Microsoft ,Microsoft Power Platforms,Microsoft Power Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,9/27/2021,10/4/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99,1,99,ESI,,,,,,
Microsoft Certified Trainer,Microsoft ,Training,Training,,https://docs.microsoft.com/en-us/learn/,Certification,10/7/2021,10/7/2021,,10/7/2022,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,800,1,800,ESI,,,,,,
Excel Apprentice Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,10/17/2021,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Azure Data Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,10/11/2021,10/18/2021,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99,1,99,ESI,,,,,,
Microsoft Power Bi Data Analyst,Microsoft ,Data Analysis,Power Bi,,https://docs.microsoft.com/en-us/learn/,Certification,9/9/2021,10/24/2021,,10/25/2022,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,160,3,480,ESI,,,,,,
Excel Associate Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,10/27/2021,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Google Data Analytics,Google,Data Analysis,R,Google Sheets,https://www.coursera.org/,Professional Certificate,10/1/2021,12/29/2021,,,100%,Done,https://www.coursera.org/account/accomplishments/professional-cert/WVT55DR6YP55,300,1,300,Vetjobs,,,,,,
Data Science Certificate,Cornell University,Data Analysis,R,,https://ecornell.cornell.edu/,Professional Certificate,11/1/2021,1/10/2022,,,100%,Done,https://ecornell.edu,1500,1,1500,Unit,,,,,,
IBM Data Analyst,IBM,Data Analysis,Python,,https://www.coursera.org/,Professional Certificate,10/1/2021,1/16/2022,,,100%,Done,https://www.coursera.org/account/accomplishments/professional-cert/CMXGKU9D2JRX,300,1,300,Vetjobs,,,,,,
SHMR-SCP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,1/16/2022,1/31/2022,,5/31/2025,100%,Done,https://portal.shrm.org/,300,1,300,ArmyIgnited,,,,,,
Excel Specialist Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Core Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Developer Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
Excel Architect Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/2021,2/6/2022,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT,,1,,Self,,,,,,
PMI-DASM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,1/10/2022,2/19/2022,,2/19/2023,100%,Done,https://my.pmi.org/,270,1,270,ArmyIgnited,,,,,,
Lean Specialist,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,Certification,2/21/2022,2/22/2022,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,100,1,100,Vetjobs,,,,,,
Lean Expert,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,Certification,2/22/2022,2/23/2022,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,100,1,100,Vetjobs,,,,,,
Agile Certified Professional,SSGI,Agile,Agile,,https://www.6sigmacertificationonline.com/,Certification,2/1/2022,3/14/2022,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments,270,1,270,ArmyIgnited,,,,Pending funding approval 2/1/22,,
Intermediate Data Analytics Certificate,University of South Carolina,Data Analysis,Power Bi,Microsoft Excel,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,Professional Certificate,3/14/2022,3/25/2022,3/25/2022,,100%,Done,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,6000,1,6000,Proponent Funded,,,,Moved to virtual due to budget,,
Azure Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,3/26/2022,3/27/2022,3/27/2022,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx,99,1,99,ESI,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Memberships,Goals,Resources,Funding Source,Cost,,,,,,,,,,,,,,,,,,,
Enterprise DNA,MBB Project ,CASY On-Demand Learning Program | Coursera,Proponent Funded,"$4,000.00 ",,,,,,,,,,,,,,,,,,,
Data Camp,Excel Master Project ,SkillsBuild for Job Seekers (ibm.com),ESI,"$2,156.00 ",,,,,,,,,,,,,,,,,,,
PMI,Google Python for IT Support,SkillsBuild (udemy.com),ArmyIgnited,,,,,,,,,,,,,,,,,,,,
SHRM,Google Project Management,Skillsoft - US Army Login (skillport.com),Self,,,,,,,,,,,,,,,,,,,,
AUSA,IBM Advanced Data Science,LinkedIn Learning,Vetjobs,#VALUE!,,,,,,,,,,,,,,,,,,,
LinkedIn Learning,Data Camp Data Analyst,Microsoft Learn,Unit,,,,,,,,,,,,,,,,,,,,
DataCamp,Kaggle Profile,Enterprise Skills Initiative,Total,#VALUE!,,,,,,,,,,,,,,,,,,,
