,Workout_Date,Distance (mi),Session Subtype,Activity Score,Average Heart Rate (bpm),Max Heart Rate (bpm),Steps_x,Calories,Active Time (total min),day_of_week_start
3,2022-06-10,6.20257,RUNNING,123.25,154.0,170.0,9843.0,1145.0,63.71,Friday
6,2022-06-06,4.50165,RUNNING,100.85,143.0,156.0,8185.0,866.0,53.75,Monday
11,2022-06-05,1.88061,RUNNING,48.85,147.0,155.0,3921.0,439.0,25.88,Sunday
12,2022-06-05,2.43575,RUNNING,48.85,147.0,155.0,3921.0,439.0,25.88,Sunday
13,2022-06-04,6.24228,RUNNING,135.67,154.0,170.0,10524.0,1238.0,69.67,Saturday
15,2022-06-03,3.10851,RUNNING,66.99,149.0,165.0,5326.0,607.0,36.07,Friday
17,2022-05-31,4.08,RUNNING,92.57,146.0,164.0,7446.0,807.0,48.67,Tuesday
19,2022-05-30,3.10044,RUNNING,65.65,155.0,172.0,5246.0,630.0,34.79,Monday
22,2022-05-28,3.10717,RUNNING,62.89,161.0,172.0,5019.0,600.0,31.91,Saturday
25,2022-05-27,3.1,RUNNING,59.13,145.0,165.0,4396.0,502.0,30.97,Friday
26,2022-05-25,6.20547,RUNNING,130.71,146.0,166.0,10194.0,1137.0,68.76,Wednesday
28,2022-05-24,3.1,RUNNING,56.69,137.0,147.0,4420.0,437.0,29.18,Tuesday
31,2022-05-17,6.20338,RUNNING,132.77,148.0,166.0,10599.0,1207.0,69.77,Tuesday
33,2022-05-16,3.10598,RUNNING,62.9,143.0,166.0,4899.0,549.0,33.9,Monday
37,2022-05-14,3.1,RUNNING,64.96,127.0,143.0,4983.0,480.0,35.96,Saturday
41,2022-05-11,5.00117,RUNNING,105.21,141.0,163.0,8477.0,907.0,56.21,Wednesday
42,2022-05-09,3.10777,RUNNING,60.16,139.0,153.0,4948.0,499.0,31.19,Monday
45,2022-05-08,2.35281,RUNNING,54.36,142.0,167.0,4400.0,531.0,32.92,Sunday
50,2022-05-07,2.59009,RUNNING,55.83,150.0,167.0,4271.0,506.0,28.83,Saturday
51,2022-05-07,3.1,RUNNING,55.83,150.0,167.0,4271.0,506.0,28.83,Saturday
56,2022-05-06,6.20509,RUNNING,124.15,148.0,171.0,9918.0,1093.0,62.43,Friday
57,2022-05-05,4.51981,RUNNING,88.38,151.0,169.0,7183.0,799.0,44.93,Thursday
59,2022-05-03,3.1,RUNNING,57.16,135.0,149.0,4396.0,448.0,30.26,Tuesday
61,2022-05-01,3.10282,RUNNING,60.88,155.0,170.0,4941.0,592.0,31.88,Sunday
64,2022-04-30,2.42729,RUNNING,47.52,159.0,175.0,3942.0,496.0,25.88,Saturday
67,2022-04-29,6.20159,RUNNING,54.65,134.0,146.0,4213.0,454.0,30.12,Friday
68,2022-04-29,3.1,RUNNING,54.65,134.0,146.0,4213.0,454.0,30.12,Friday
70,2022-04-28,3.10633,RUNNING,60.54,143.0,162.0,4922.0,558.0,34.29,Thursday
73,2022-04-27,3.50724,RUNNING,66.91,145.0,165.0,5404.0,612.0,37.24,Wednesday
74,2022-04-25,3.10605,RUNNING,60.12,140.0,166.0,5086.0,565.0,36.05,Monday
77,2022-04-23,3.1,RUNNING,58.06,134.0,145.0,4585.0,470.0,31.44,Saturday
80,2022-04-21,3.10142,RUNNING,63.71,150.0,173.0,4952.0,616.0,35.1,Thursday
82,2022-04-19,5.01831,RUNNING,96.91,151.0,168.0,7840.0,895.0,49.13,Tuesday
84,2022-04-18,3.09845,RUNNING,62.48,147.0,168.0,4948.0,583.0,34.16,Monday
85,2022-04-17,3.1,RUNNING,62.63,131.0,148.0,4850.0,497.0,34.16,Sunday
94,2022-04-03,0.251156,RUNNING,132.54,159.0,174.0,10553.0,1317.0,68.54,Sunday
95,2022-04-03,6.19947,RUNNING,132.54,159.0,174.0,10553.0,1317.0,68.54,Sunday
105,2022-03-27,0.662913,RUNNING,62.92,150.0,170.0,5142.0,538.0,33.87,Sunday
106,2022-03-27,3.10118,RUNNING,62.92,150.0,170.0,5142.0,538.0,33.87,Sunday
109,2022-03-25,3.1,RUNNING,58.8,132.0,145.0,4585.0,426.0,32.73,Friday
112,2022-03-20,6.2,RUNNING,119.61,151.0,171.0,9439.0,963.0,61.01,Sunday
115,2022-03-19,6.2,RUNNING,122.45,151.0,171.0,9386.0,982.0,62.33,Saturday
118,2022-03-13,3.1,RUNNING,61.11,133.0,144.0,4763.0,443.0,31.11,Sunday
122,2022-03-11,6.20247,RUNNING,131.09,147.0,168.0,10754.0,1157.0,71.65,Friday
123,2022-03-09,3.1,RUNNING,60.09,150.0,162.0,4615.0,506.0,30.43,Wednesday
128,2022-03-06,13.1,RUNNING,225.86,159.0,173.0,17055.0,2060.0,113.93,Sunday
137,2022-03-05,3.1,RUNNING,7.25,90.0,114.0,1419.0,91.0,11.91,Saturday
139,2022-02-27,6.2,RUNNING,121.97,159.0,178.0,9302.0,1112.0,61.97,Sunday
140,2022-02-27,5.75,RUNNING,121.97,159.0,178.0,9302.0,1112.0,61.97,Sunday
153,2022-02-21,4.07453,RUNNING,72.82,158.0,178.0,5952.0,668.0,37.82,Monday
154,2022-02-21,3.60654,RUNNING,72.82,158.0,178.0,5952.0,668.0,37.82,Monday
156,2022-02-17,3.1,RUNNING,54.57,137.0,152.0,4028.0,437.0,30.09,Thursday
158,2022-02-16,2.0,RUNNING,35.12,157.0,171.0,2870.0,309.0,18.17,Wednesday
162,2022-02-13,3.1,RUNNING,53.67,141.0,154.0,4149.0,426.0,28.45,Sunday
163,2022-02-10,3.1,RUNNING,57.25,140.0,156.0,4478.0,439.0,30.06,Thursday
168,2022-02-02,3.10459,RUNNING,61.03,140.0,160.0,4961.0,530.0,36.09,Wednesday
169,2022-02-02,0.0242114,RUNNING,61.03,140.0,160.0,4961.0,530.0,36.09,Wednesday
171,2022-02-01,3.1077,RUNNING,60.06,146.0,157.0,4909.0,514.0,32.23,Tuesday
174,2022-01-31,0.440799,RUNNING,44.01,149.0,172.0,3382.0,387.0,24.92,Monday
175,2022-01-31,2.23328,RUNNING,44.01,149.0,172.0,3382.0,387.0,24.92,Monday
177,2022-01-30,3.2,RUNNING,59.94,148.0,164.0,4740.0,500.0,31.38,Sunday
180,2022-01-26,3.10535,RUNNING,62.07,149.0,171.0,4862.0,537.0,33.35,Wednesday
181,2022-01-26,3.1,RUNNING,62.07,149.0,171.0,4862.0,537.0,33.35,Wednesday
183,2022-01-23,3.1,RUNNING,58.03,143.0,163.0,4411.0,491.0,33.06,Sunday
184,2022-01-20,2.5,RUNNING,50.91,130.0,151.0,4118.0,404.0,30.86,Thursday
187,2022-01-18,1.71222,RUNNING,46.61,139.0,158.0,3839.0,382.0,25.88,Tuesday
188,2022-01-18,2.23836,RUNNING,46.61,139.0,158.0,3839.0,382.0,25.88,Tuesday
190,2022-01-17,6.2,RUNNING,131.51,153.0,173.0,9963.0,1232.0,68.55,Monday
195,2022-01-13,3.10137,RUNNING,63.01,146.0,166.0,5003.0,571.0,34.28,Thursday
197,2022-01-12,3.10493,RUNNING,65.06,149.0,167.0,5066.0,605.0,34.86,Wednesday
199,2022-01-11,6.20239,RUNNING,130.33,155.0,169.0,10379.0,1283.0,69.58,Tuesday
200,2022-01-10,3.1,RUNNING,59.83,156.0,172.0,4337.0,568.0,30.84,Monday
203,2022-01-09,2.68793,RUNNING,51.65,153.0,168.0,4298.0,511.0,27.86,Sunday
204,2022-01-09,2.67208,RUNNING,51.65,153.0,168.0,4298.0,511.0,27.86,Sunday
205,2022-01-08,3.1,RUNNING,58.06,141.0,161.0,4623.0,519.0,32.51,Saturday
209,2022-01-01,3.1,RUNNING,52.66,153.0,171.0,4236.0,507.0,27.63,Saturday
210,2021-12-31,3.1,RUNNING,50.95,164.0,177.0,3824.0,496.0,26.07,Friday
213,2021-12-29,3.1,RUNNING,59.1,138.0,162.0,4517.0,530.0,33.84,Wednesday
217,2021-12-27,3.1,RUNNING,60.56,147.0,169.0,4586.0,561.0,32.63,Monday
222,2021-12-22,6.20107,RUNNING,127.03,143.0,163.0,10176.0,1155.0,68.91,Wednesday
225,2021-12-18,6.18364,RUNNING,115.52,162.0,183.0,9190.0,1152.0,58.77,Saturday
228,2021-12-10,6.20368,RUNNING,133.74,147.0,168.0,10462.0,1176.0,67.98,Friday
230,2021-12-09,3.1056,RUNNING,61.14,152.0,166.0,4872.0,596.0,33.64,Thursday
236,2021-12-05,13.13,RUNNING,133.3,153.0,165.0,10440.0,1161.0,68.38,Sunday
240,2021-12-04,6.2,RUNNING,117.66,152.0,173.0,9267.0,1036.0,61.03,Saturday
244,2021-12-03,6.20721,RUNNING,127.02,155.0,169.0,10260.0,1149.0,65.37,Friday
246,2021-12-02,3.57864,RUNNING,77.05,145.0,163.0,6035.0,655.0,41.8,Thursday
248,2021-12-01,6.21259,RUNNING,136.55,154.0,173.0,10828.0,1243.0,72.55,Wednesday
252,2021-11-28,2.79223,RUNNING,51.36,165.0,173.0,4069.0,470.0,26.11,Sunday
258,2021-11-20,3.1,RUNNING,58.23,139.0,150.0,4654.0,445.0,30.37,Saturday
263,2021-11-17,3.1,RUNNING,57.45,133.0,144.0,4631.0,434.0,30.73,Wednesday
264,2021-11-16,3.1,RUNNING,62.08,127.0,142.0,4914.0,455.0,35.67,Tuesday
266,2021-11-15,3.18,RUNNING,61.36,141.0,152.0,4885.0,484.0,32.52,Monday
268,2021-11-14,6.3,RUNNING,119.19,143.0,154.0,9316.0,937.0,60.81,Sunday
272,2021-11-13,6.26,RUNNING,120.77,150.0,166.0,9382.0,1010.0,60.95,Saturday
273,2021-11-12,3.1,RUNNING,66.31,146.0,164.0,5180.0,576.0,35.71,Friday
275,2021-11-11,5.0,RUNNING,85.37,151.0,166.0,6803.0,746.0,44.38,Thursday
278,2021-11-10,3.1,RUNNING,66.3,152.0,173.0,5199.0,606.0,35.94,Wednesday
279,2021-11-10,3.13794,RUNNING,66.3,152.0,173.0,5199.0,606.0,35.94,Wednesday
285,2021-11-04,3.1,RUNNING,56.37,156.0,177.0,4374.0,503.0,29.32,Thursday
288,2021-10-30,3.1,RUNNING,58.88,153.0,168.0,4542.0,509.0,30.39,Saturday
295,2021-10-23,3.1,RUNNING,10.4,91.0,111.0,2044.0,129.0,18.05,Saturday
298,2021-10-16,10.0009,RUNNING,198.67,153.0,170.0,16197.0,1623.0,100.25,Saturday
299,2021-10-15,3.1,RUNNING,52.57,140.0,156.0,4370.0,399.0,27.9,Friday
301,2021-10-14,3.56526,RUNNING,72.67,139.0,152.0,5803.0,541.0,39.15,Thursday
302,2021-10-13,3.55868,RUNNING,72.36,143.0,161.0,5785.0,560.0,38.46,Wednesday
303,2021-10-12,2.49986,RUNNING,55.43,143.0,166.0,4367.0,469.0,31.93,Tuesday
304,2021-10-11,3.1,RUNNING,49.77,150.0,166.0,4033.0,420.0,26.44,Monday
309,2021-10-09,3.08652,RUNNING,60.17,159.0,182.0,4524.0,549.0,32.26,Saturday
313,2021-10-06,3.10499,RUNNING,57.93,147.0,174.0,4867.0,449.0,30.07,Wednesday
319,2021-10-03,3.1,RUNNING,57.62,144.0,165.0,4457.0,462.0,32.0,Sunday
320,2021-10-02,3.1,RUNNING,59.76,137.0,153.0,4481.0,444.0,32.9,Saturday
329,2021-09-28,4.39982,RUNNING,94.71,148.0,166.0,7611.0,548.0,51.48,Tuesday
331,2021-09-27,3.56663,RUNNING,72.83,143.0,159.0,5680.0,396.0,39.65,Monday
332,2021-09-26,4.0,RUNNING,72.9,147.0,165.0,5740.0,412.0,38.89,Sunday
333,2021-09-25,4.0,RUNNING,72.42,148.0,171.0,5685.0,400.0,37.82,Saturday
335,2021-09-24,3.55645,RUNNING,76.29,150.0,172.0,6007.0,472.0,43.13,Friday
337,2021-09-23,3.55639,RUNNING,76.51,143.0,165.0,5979.0,413.0,40.8,Thursday
