My Certifications,Organization,Concentration ,Skill 1,Skill 2,Organization URL,Type,START DATE,FINISH DATE,FINISH Date Goal,ReCertification Date,% COMPLETE,Status,URL,Exam/Training Cost,Exam Attempts,Total Costs,Funding Source, Additional Study Expenses ,Best Study Resource,Personal Expenses ,NOTES,Additional Study Resource,Additional Study Resource2
Data+,CompTia,Data Analysis,Data Analysis,Statistics,https://www.comptia.org/certifications/data,Certification,9/7/22,9/8/22,9/8/22,9/8/25,100%,Done,https://www.certmetrics.com/comptia/, $108.00 ,1, $108.00 ,Self,,,,,,
Project+,CompTia,Project Management,Project Management,,https://www.comptia.org/certifications/project,,,,,,,,,,, $-   ,,,,,,,
Google Project Management,Google,Project Management,Project Management,,https://www.coursera.org/learn/applying-project-management/home/welcome,Professional Certificate,11/1/21,5/12/22,4/1/22,,100%,Done,https://coursera.org/share/5631a803ab6306376ad8bb953022b556, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
IBM Data Science,IBM,Data Analysis,Python,Microsoft Excel,https://www.coursera.org/learn/machine-learning-with-python/home/welcome,Professional Certificate,10/1/22,5/6/22,7/1/22,,100%,Done,https://coursera.org/share/e229e6f9bf3781bc463f243f4d4306ab, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
PMI-DASSM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,2/26/22,4/9/22,5/1/22,4/9/23,100%,Done,https://my.pmi.org/, $270.00 ,1, $270.00 ,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
Azure Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,3/26/22,3/27/22,3/27/22,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $99.00 ,1, $99.00 ,ESI,,,,,,
Intermediate Data Analytics Certificate,University of South Carolina,Data Analysis,Power Bi,Microsoft Excel,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram,Professional Certificate,3/14/22,3/25/22,3/25/22,,100%,Done,https://armyeitaas.sharepoint-mil.us/teams/FCS-UofSCDataAnalyticsProgram," $6,000.00 ",1," $6,000.00 ",Proponent Funded, $-   ,,,Moved to virtual due to budget,,
Agile Certified Professional,SSGI,Agile,Agile,,https://www.6sigmacertificationonline.com/,Certification,2/1/22,3/14/22,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments, $270.00 ,1, $270.00 ,ArmyIgnited,,,,Pending funding approval 2/1/22,,
Lean Expert,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview,Certification,2/22/22,2/23/22,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-p2-certification/learn/lecture/30455836?start=0#overview, $100.00 ,1, $100.00 ,Vetjobs,,,,,,
Lean Specialist,AIGPE,Lean Six Sigma,Lean Six Sigma,,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview,Certification,2/21/22,2/22/22,,,100%,Done,https://ibmcsr.udemy.com/course/lean-management-certification/learn/lecture/28440872?start=1#overview, $100.00 ,1, $100.00 ,Vetjobs,,,,,,
PMI-DASM,PMI,Agile,Agile,,https://www.pmi.org/,Certification,1/10/22,2/19/22,,2/19/23,100%,Done,https://my.pmi.org/, $270.00 ,1, $270.00 ,ArmyIgnited,,,,,,
Excel Specialist Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Core Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Developer Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Excel Architect Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,2/6/22,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
SHMR-SCP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,1/16/22,1/31/22,,5/31/25,100%,Done,https://portal.shrm.org/, $300.00 ,1, $300.00 ,ArmyIgnited,,,,,,
IBM Data Analyst,IBM,Data Analysis,Python,,https://www.coursera.org/,Professional Certificate,10/1/21,1/16/22,,,100%,Done,https://coursera.org/share/da07681340ea5f345cef21d04197f166, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
Data Science Certificate,Cornell University,Data Analysis,R,,https://ecornell.cornell.edu/,Professional Certificate,11/1/21,1/10/22,,,100%,Done,https://ecornell.edu," $1,500.00 ",1," $1,500.00 ",Unit,,,,,,
Google Data Analytics,Google,Data Analysis,R,Google Sheets,https://www.coursera.org/,Professional Certificate,10/1/21,12/29/21,,,100%,Done,https://coursera.org/share/188441016b9730162e5549c0fd136a0b, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
Excel Associate Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,10/27/21,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Microsoft Power Bi Data Analyst,Microsoft ,Data Analysis,Power Bi,,https://docs.microsoft.com/en-us/learn/,Certification,9/9/21,10/24/21,,10/25/23,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $160.00 ,3, $480.00 ,ESI,,,,,,
Azure Data Fundamentals,Microsoft ,Azure,Microsoft Data Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,10/11/21,10/18/21,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $99.00 ,1, $99.00 ,ESI,,,,,,
Excel Apprentice Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,10/17/21,,,100%,Done,https://elearning.iact.ie/skill/371445/qbgzCjeT, $-   ,1, $-   ,Self,,,,,,
Microsoft Certified Trainer,Microsoft ,Training,Training,,https://docs.microsoft.com/en-us/learn/,Certification,10/7/21,10/7/21,,10/7/22,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $800.00 ,1, $800.00 ,ESI,,,,,,
Power Platforms Fundamentals,Microsoft ,Microsoft Power Platforms,Microsoft Power Platforms,,https://docs.microsoft.com/en-us/learn/,Certification,9/27/21,10/4/21,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $99.00 ,1, $99.00 ,ESI,,,,,,
Lean Six Sigma Green Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/21,10/3/21,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments, $199.00 ,1, $199.00 ,ArmyIgnited,,,,,,
Lean Six Sigma Master Black Belt,SSGI,Lean Six Sigma,Lean Six Sigma,,https://www.6sigmacertificationonline.com/,Certification,8/1/21,10/3/21,,,100%,Done,https://courses.sixsigmaglobalinstitute.com/enrollments, $500.00 ,1, $500.00 ,ArmyIgnited,,,,,,
Teams Administrator,Microsoft ,Microsoft Teams,Microsoft Teams,,https://docs.microsoft.com/en-us/learn/,Certification,7/30/21,9/13/21,,9/13/23,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $160.00 ,3, $480.00 ,ESI,,,,,,
365 Fundamentals,Microsoft ,Microsoft Office ,Microsoft Office,,https://docs.microsoft.com/en-us/learn/,Certification,8/1/21,8/21/21,,,100%,Done,https://www.microsoft.com/en-us/learning/dashboard.aspx, $99.00 ,1, $99.00 ,ESI,,,,,,
SHRM-CP,SHRM,Human Resources ,Human Resources,,https://shrm.org/,Certification,3/1/21,6/28/21,,5/31/25,100%,Done,https://portal.shrm.org/," $4,000.00 ",1," $4,000.00 ",Proponent Funded,,https://learnhrm.partnerrc.com/am/@@login?camefrom=/am/%40%40summary,,,,
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/21,,8/1/22,,0%,,https://my.pmi.org/, $300.00 ,2, $600.00 ,ArmyIgnited, $150.00 ,,,ArmyIgnited Approval Pending 2/26,https://www.project-management-prepcast.com/pmi-acp-exam,https://www.pmtraining.com/public/pMemberLogin.aspx
PMI-ACP,PMI,Agile,Agile,,https://www.pmi.org/,Certification,12/1/21,,,,0%,,https://www.onlinepmti.com/ACP," $2,000.00 ",1," $2,000.00 ",ArmyIgnited,,,,,,"https://www.onlinepmti.com/ACP/home#

"
SAFe,American Technology Consulting,Agile,Agile,,https://www.atc-training.net/,Certification,2/26/22,,4/15/22,,0%,,https://www.atc-training.net/, $500.00 ,1, $500.00 ,ArmyIgnited,,,,ArmyIgnited Approval Pending 2/26,,
PMI-CAPM,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,1/1/22,,11/1/22,,0%,,https://my.pmi.org/, $300.00 ,1, $300.00 ,ArmyIgnited,,,,,,
PMI-PMP,PMI,Project Management,Project Management,,https://www.pmi.org/,Certification,12/1/21,,12/1/22,,0%,,https://my.pmi.org/, $300.00 ,1, $300.00 ,ArmyIgnited,,,,Funding approved. Ready to schedule,,
Data Science Certificate,University of Louisville,Data Analysis,Python,,https://engineering.louisville.edu/,Academic Certificate,1/10/22,,5/1/23,,0%,,, $750.00 ,2," $1,500.00 ",ArmyIgnited,,,,,,
IBM Data Analytics with Excel and R,IBM,Data Analysis,R,Microsoft Excel,https://www.coursera.org/programs/casy-on-demand-learning-program-yul8r?currentTab=MY_COURSES&productId=QQGg65luEeugtw5wj3v7iQ&productType=s12n&showMiniModal=true,Professional Certificate,10/10/22,,12/1/22,,0%,,, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
Google IT Automation with Python,Google,Data Analysis,Python,,https://www.coursera.org/learn/python-operating-system/home/welcome,Professional Certificate,12/1/21,,6/1/22,,25%,,, $300.00 ,1, $300.00 ,Vetjobs,,,,,,
Excel Master Certification,eLearning,Microsoft Excel,Microsoft Excel,,https://elearning.iact.ie/,Certification,8/1/21,,8/1/22,,75%,,https://elearning.iact.ie/skill/371445/qbgzCjeT, $49.00 ,1, $49.00 ,Self,,,,Pending final project,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Memberships,Goals,Resources,,,,,,,,,,,,,,,,,,,,,
Enterprise DNA,MBB Project ,CASY On-Demand Learning Program | Coursera,,,,,,,,,,,,,,,,,,,,,
Data Camp,Excel Master Project ,SkillsBuild for Job Seekers (ibm.com),,,,,,,,,,,,,,,,,,,,,
PMI,Google Python for IT Support,SkillsBuild (udemy.com),,,,,,,,,,,,,,,,,,,,,
SHRM,GitHub Profile,Skillsoft - US Army Login (skillport.com),,,,,,,,,,,,,,,,,,,,,
AUSA,IBM Advanced Data Science,LinkedIn Learning,,,,,,,,,,,,,,,,,,,,,
LinkedIn Learning,Data Camp Data Analyst,Microsoft Learn,,,,,,,,,,,,,,,,,,,,,
DataCamp,Kaggle Profile,Enterprise Skills Initiative,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
